"Id","RouteId","Description","ExactPoint","Time","IsActive","UserId"
1612,28,"TROPICANA","MAIN ROAD","07:08",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1613,22,"AG.GORDIOS BUS STOP","BUS STOP","07:46",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1614,19,"GOLDEN MARE BARBATI","M.ROAD","07:11",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1615,28,"SIDARI VALUE PLUS OFFICE","OFFICE","07:29",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1616,19,"IPSOS MONTECRISTO CLUB","M.ROAD","07:18",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1617,19,"PALMA BOUTIQUE HOTEL","M.ROAD","07:32",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1618,19,"SETTE VENTI","M.ROAD","08:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1619,20,"AVRA HOTEL","MAIN ROAD","08:52",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1620,19,"JOY HERO SUPERMARKET","M.ROAD","07:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1621,20,"SANDY VILLAS","MAIN ROAD","09:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1622,22,"MARKATO SUPERMARKET","MAIN ROAD","08:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1623,32,"TEO HTL","MAIN GATE","06:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1624,19,"KARDA BEACH","MAIN ROAD","07:31",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1625,28,"DHMHTRA S/M ACHARAVI","MAIN ROAD","07:02",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1626,19,"LORD BYRON","M.ROAD","07:15",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1627,28,"PARADISE REST","MAIN ROAD","07:29",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1628,28,"RODA BEACH MAIN GATE","MAIN GATE","07:11",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1630,28,"MONIKA HTL","MAIN ROAD BRIDGE","07:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1631,28,"PALM GROVE","MAIN ROAD","07:39",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1632,29,"FUTURE BAR","M. ROAD","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1633,20,"MARATHIAS","M.ROAD","09:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1634,20,"ALMYRA BAR","MAIN ROAD","09:41",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1635,19,"POST OFFICE TZAVROS","M.ROAD","07:39",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1636,22,"FOLIES","M.ROAD","08:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1637,20,"ELENAS POOL","M.ROAD","09:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1638,22,"KOKKINI","M.ROAD","07:25",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1639,22,"IRENE APTARTMENTS","BUS STOP","07:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1640,29,"KAVOS TAXI STATION","M.ROAD","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
